node(1,50,65).
node(2,94,44).
node(3,72,1).
node(4,4,42).
node(5,98,24).
node(6,61,82).
node(7,41,44).
node(8,48,71).
node(9,73,64).
node(10,45,27).
node(11,27,52).
node(12,22,95).
node(13,4,11).
node(14,99,6).
node(15,3,85).
node(16,52,94).
node(17,26,3).
node(18,73,58).
node(19,31,25).
node(20,8,39).
edge(3,20,5).
edge(4,3,5).
edge(9,13,11).
edge(19,14,7).
edge(12,6,5).
edge(19,4,3).
edge(9,16,3).
edge(16,12,5).
edge(18,4,9).
edge(13,19,6).
edge(2,6,2).
edge(7,16,7).
edge(13,5,10).
edge(11,5,6).
edge(5,7,6).
edge(17,9,10).
edge(8,4,8).
edge(3,19,4).
edge(15,5,5).
edge(15,17,7).
edge(16,7,7).
edge(2,7,7).
edge(12,1,1).
edge(15,6,7).
edge(13,16,11).
edge(9,18,2).
edge(1,18,4).
edge(3,15,3).
edge(8,11,6).
edge(5,15,5).
edge(17,8,9).
edge(4,6,9).
edge(18,11,7).
edge(7,16,7).
edge(5,16,4).
edge(15,19,5).
edge(1,15,5).
edge(3,11,2).
edge(8,16,5).
edge(1,5,2).
edge(8,1,2).
edge(18,13,10).
edge(4,1,8).
edge(1,16,5).
edge(15,4,6).
edge(9,15,7).
edge(11,5,6).
edge(1,20,8).
edge(7,17,7).
edge(19,20,3).
edge(20,16,9).
edge(2,12,4).
edge(11,2,7).
edge(12,2,4).
edge(15,2,7).
edge(20,5,8).
edge(14,20,7).
edge(18,8,3).
edge(7,15,1).
edge(9,12,4).
edge(10,11,2).
edge(7,9,7).
edge(15,20,6).
edge(11,20,5).
edge(13,9,11).
edge(10,8,6).
edge(11,13,8).
edge(5,12,2).
edge(5,15,5).
edge(12,18,3).
edge(6,11,8).
edge(7,8,5).
edge(8,17,9).
edge(13,6,11).
edge(9,6,2).
edge(1,2,4).
edge(6,11,8).
edge(9,10,8).
edge(15,17,7).
edge(20,15,6).
edge(8,7,5).
edge(17,18,10).
edge(9,8,4).
edge(6,19,9).
edge(5,16,4).
edge(18,8,3).
edge(9,7,7).
edge(11,8,6).
edge(14,18,5).
edge(8,3,6).
edge(19,18,8).
edge(6,12,5).
edge(14,3,5).
edge(20,19,3).
edge(14,2,5).
edge(1,19,7).
edge(3,1,6).
edge(4,14,7).
edge(1,8,2).
edge(3,16,8).
